"GSM380517"	"GSM380518"	"GSM380519"	"GSM380520"
"AC009947.3 /// RBMY2AP /// RBMY2AP /// RBMY2BP /// RBMY2BP /// RBMY2DP /// RBMY2DP"	3.71331358484382	4.35990235195424	4.42460152353326	4.61854441775478
"AC012065.7"	6.29989219824235	6.19302263089989	6.32300106464957	7.1807449413377
"AC068039.4"	5.1867228787051	5.02191605553665	5.56667420204686	5.884571242303
"AC074212.6"	5.45166012002591	5.22156021768858	5.4932692058551	5.70048517727153
"AC084219.3"	4.33980046818659	4.30409390048607	4.3194194994919	4.55973034490096
"AC104537.2 /// TCEB1P28"	3.92723223907502	3.90807814987944	4.05893352081953	4.39991506975729
"AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2"	6.24178905496716	6.32354662936165	9.78348267108366	7.76794397988292
"ACAA1"	7.16328339054084	6.87777315605952	6.56694225843871	6.68788568827049
"ACAA2"	7.26322681564324	7.4475819930616	7.90571313237053	6.95153587788411
"ACACA"	7.27564341152758	7.08512274935699	7.11202926074412	7.684317593754
"ACACB"	5.95072463999329	6.12877394464042	6.06907725567826	6.20661895577302
"ACAD10"	5.79735234429036	5.79735234429036	6.08396901253667	6.38372919785802
"ACAD8"	4.87109466893526	6.21382390946632	5.69850895335395	4.54354261421377
"ACADL"	6.22480974059417	4.27447111205668	4.45321424703484	5.28658947444976
"ACADM"	8.64155719447147	9.50206220932996	8.77286632508129	8.53778108137516
"ACADS"	6.66451525998902	6.62983163291013	6.9807085819425	6.93173212253674
"ACADSB"	3.67091199705218	3.55210134517721	3.38822533801516	4.7445246259939
"ACADVL"	8.52807932134528	8.4855547985724	7.88776756396686	6.55929329705158
"ACAN"	5.7376667206565	5.46053220379366	5.57708818010824	6.27707295056447
"ACAP1"	5.03704256588916	4.90575063128255	5.20500856690836	5.63118622392752
"ACAP2"	6.60627410775437	6.73965730773211	6.46426661893475	6.75266193386538
"ACAT1"	5.98883375083401	7.08156355575852	7.32836559278056	7.25204530925138
"ACAT2"	7.23911707027186	7.89176665313703	8.11469953757141	7.26232692671315
"ACBD3"	7.85104642038428	8.01209451529125	7.5596636420833	7.17058582052269
"ACBD4"	6.81320579817289	7.13380674826399	6.60454517998432	7.3744911517203
"ACD"	8.46771065022743	7.97363909715135	7.94681986623085	6.98467949756007
"ACE"	4.05848419853168	4.04044036604324	4.09947242209443	4.4508859187895
"ACE2"	4.03814077077885	4.25618789360214	4.29265218767382	4.70625114292186
"ACHE"	4.9048060262795	5.23571515907069	4.98472062199718	5.34128681715726
"ACIN1"	7.60533379704821	7.99353735604422	7.14730950361555	6.72688661907496
"ACKR1"	5.57716798090563	5.33886466663813	5.66291447987018	6.22081766138615
"ACKR2"	5.11926002021017	4.93802568358621	5.07780023360703	6.0095095974876
"ACKR3"	6.00922692849969	8.47752225955021	8.11223588478394	6.80328215206234
"ACKR4"	3.92239997878029	4.22410099491457	4.30056510954516	4.92743423858754
"ACLY"	8.75059887438742	8.69520569203454	9.02837404144697	7.77481268474756
"ACN9"	5.86711684211045	5.78974152189548	5.54162304338787	5.84363743879923
"ACO1"	7.47692409008871	7.65222320673861	7.39454917701928	7.25639457242803
"ACO2"	6.30643041632296	6.97928319202225	6.6173448256194	6.91927512394548
"ACOT1 /// ACOT2"	6.77688061300324	7.03995740634898	5.86216728454203	6.34071403962894
"ACOT11"	4.71990883128173	4.72282407620292	5.17350220268464	5.18124643406362
"ACOT13"	8.29507876155843	7.83555477057657	7.55733358178529	6.692960292044
"ACOT7"	5.73254240277664	6.51505203009919	7.77920974289859	6.50949484785636
"ACOT8"	6.42139401987644	6.36956285993037	6.38736689367346	6.56247031518568
"ACOT9"	7.492448759965	6.04622185561251	6.26595970459966	6.26394428434441
"ACOX1"	4.83234833452176	4.78785504514921	4.67201677021212	4.74071670984195
"ACOX2"	4.72008439292383	4.78256059833639	4.45530095826714	4.46268186332629
"ACOX3"	6.20523322630332	5.97391030492494	5.79568220493428	6.57437728642958
"ACOXL"	3.56182384892705	3.65885601324707	3.75760435697471	3.94046534591112
"ACP1"	9.02501938203948	8.13882378592146	8.60773789825973	7.46095746000983
"ACP2"	8.09394734626662	6.7788992409943	7.48151595260982	7.69723708554959
"ACP5"	6.42139401987644	5.84207107865686	6.00758779000152	7.17266638682554
"ACP6"	8.74562238425401	7.81742227053648	6.78268423142883	6.29107344893276
"ACPP"	3.9223999787803	4.08523162385727	3.98829104788127	5.35157977261039
"ACR"	4.49728882085245	4.97185332441369	4.98368151528672	5.63876137681442
"ACRV1"	4.87372875925886	5.07407285073281	5.28708016519215	5.90766227085948
"ACSBG1"	4.18859011536583	4.40725376178325	4.52628394741646	5.14235933025913
"ACSBG2"	4.2734207350978	4.47878146120617	4.39036201359795	5.29502211521764
"ACSF2"	7.31624864750678	8.13911866532611	6.13734035858554	6.20150223948946
"ACSL1"	6.42394521158413	6.00361390243993	7.09859075783094	6.88021057202397
"ACSL3"	7.40548860478378	7.91843621934812	7.55833438567566	8.93889281505384
"ACSL4"	4.51975391036513	4.53024960671049	4.62171603821841	4.8920900158641
"ACSL5"	6.42437268269859	4.87190985779509	4.9810347139662	5.88598309668716
"ACSL6"	4.00003224456437	3.99703436426066	4.34016598437574	4.52762353904872
"ACSM1"	3.64603574363792	3.66817964823594	3.56841043295219	4.40925424715271
"ACSM2A /// ACSM2B"	4.23312263968797	4.2647633023476	4.1965412532419	5.2498622954537
"ACSM3"	4.14012003431271	4.17815884941729	4.42516068712331	5.15226640141169
"ACSM5"	5.34698929244237	5.41770682603796	5.73290673294759	6.46700809451202
"ACSS3"	6.89206603157367	5.99737412012354	5.00529640143901	6.6115076545968
"ACTA1"	4.43973686872695	4.21265039212959	6.35828134938145	4.47657542501716
"ACTA2"	6.47679998989423	6.44056725526485	6.40883965002644	7.20305185529332
"ACTB"	12.1109452220875	11.7963844821223	12.2012285959348	10.0893544077821
"ACTB /// ACTG1"	12.6242352153015	13.0364292588349	12.9657248026196	11.7573582622275
"ACTBP9 /// ACTBP9"	5.9706177449854	6.44616398598318	6.52132092646279	6.56870823187616
"ACTC1"	6.90775177312737	6.35048246449783	8.35759919930135	6.77842079741907
"ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B"	5.60238918896894	7.3911559779606	5.10904194668639	5.16886777830436
"ACTG2"	5.47681894457293	5.16294961891683	5.16775244391246	5.93014604829246
"ACTL6A"	9.15459095572153	9.5066435005183	9.31699149893196	9.1929535770631
"ACTL6B"	4.54893763304258	5.51879039279645	5.62298475548162	5.23346573833371
"ACTL7A"	4.60776196864968	4.70083111899772	4.74939647558456	5.25975776449714
"ACTL7B"	4.83829492095479	4.79288068297563	4.71462716128349	5.24487834320492
"ACTL8"	6.06759675879947	5.28918132104903	6.38709909968655	6.81448525962772
"ACTN1"	8.00432488810421	8.49867621603374	7.98479637512521	7.71788826423601
"ACTN2"	4.5441864712755	4.49053386154412	4.76737462878406	5.01900160485483
"ACTN3"	4.49461249735204	4.89596696167954	4.94079025677547	4.9077822054093
"ACTN4"	9.86939026252461	9.632779781092	8.31515136312549	8.5377227277663
"ACTR10"	9.76168419178078	10.315393675429	9.39180374664704	8.64563430048456
"ACTR1A"	7.5064713508667	7.43821229860029	7.55340328523049	7.05542479756799
"ACTR1B"	8.38151220726129	7.54168392929294	7.499496399601	7.29149933766652
"ACTR2"	8.93211182981191	7.75562634601608	9.17683275167463	8.1968667707785
"ACTR3"	9.96125739738416	9.05288915413832	9.43443687072832	9.78299532514207
"ACTR3B"	5.32588137180239	6.25895711002091	6.35078227607895	6.98844384828186
"ACTR3P2 /// ACTR3P2"	3.36582785334453	3.46042067582875	3.62424283024316	4.05163989749755
"ACTR5"	6.5959388471549	6.51450396645544	6.70338701207067	6.42796166096462
"ACTR6"	7.59380876916252	7.47105935599011	7.8363602912409	8.49216805786545
"ACTR8"	5.17020299398294	5.62994283754012	5.16597025126077	6.35298535074257
"ACVR1"	6.53886586990005	6.30535407961812	6.1780671256258	5.7582882966053
"ACVR1B"	5.90504699391466	5.72953917194902	6.04832803011281	6.18341845652896
"ACVR2A"	7.595887864379	8.62691005411934	8.2875436148996	8.10354388947637
"ACVR2B"	7.96661897142142	6.62728161109995	6.40210721635418	6.38909305322805
"ACVR2B-AS1"	5.74392636896057	6.20539006779716	6.91993611610918	7.17584298777768
"ACVRL1"	5.34513991158773	5.52907830906464	5.26708921459413	5.70622054437097
"ACYP1"	7.86795058924908	9.98778688668898	8.80686105048355	6.84694097208431
"ACYP2 /// LOC101927144"	6.18911980938943	6.46361550952344	7.04758436523536	5.78627615992748
"ADA"	5.27100293616081	4.80284669202168	5.02498171173661	5.3809479751926
"ADAM10"	6.47167012150657	6.18770326090413	6.50385282050457	6.1774868956997
"ADAM11"	5.82152286015103	5.80742736199827	5.94551495005145	6.2166302418886
"ADAM12"	4.45848208828706	4.56248870573067	4.54268543679144	5.31292695664873
"ADAM15"	4.74606264939137	4.43718329003892	4.63489084600055	5.10081105480897
"ADAM17"	6.78187899113965	6.04870595541422	6.17980824957902	6.30167844827976
"ADAM18"	4.20309992608568	4.38580017747505	4.51192506383752	5.10081105480897
"ADAM19"	5.06272199134581	5.5871368145898	5.60009437752583	5.93106782562609
"ADAM2"	3.68744050220009	3.90683683008795	4.038094570818	4.25749089870586
"ADAM20"	4.86095821633312	4.95121550343801	5.36758513509282	5.77761313135551
"ADAM21"	4.37229282494677	4.25325100082349	4.94659548997071	5.43756999119308
"ADAM22"	4.98359066146809	5.34260389480041	4.9980352561285	5.47508305414772
"ADAM23"	5.48349702698879	6.57240590634214	5.4267258099559	6.17001822556043
"ADAM28"	4.54229050485633	4.60889360505579	4.78809151252215	5.48687052253686
"ADAM29 /// LOC101928551"	3.54428477339494	3.54198564889039	3.71839548177382	4.30230200283993
"ADAM30"	5.05608682996258	5.00502637753922	5.84956715269007	6.06059690377433
"ADAM3A"	3.56182384892705	3.72143682368129	3.76767449738852	4.20841488823976
"ADAM3B /// ADAM3B"	3.44490779304993	3.38950554353653	3.4787030466064	4.02711143151134
"ADAM5"	4.54317872490547	4.80206366245801	4.79382478624891	5.57122861287584
"ADAM7"	3.5744596768001	3.36614898220053	3.65567374824883	4.18702312482609
"ADAM8"	5.34891371305642	4.93576870338313	5.12738375882561	5.79725580648135
"ADAM9"	6.81901256347466	6.63499704395043	6.57765132664686	7.23591632222515
"ADAMDEC1"	4.21474738343143	4.47120413018313	5.56992137750336	7.65515258593681
"ADAMTS1"	6.0279114987178	5.95504154628868	6.23309731718025	6.40022068714916
"ADAMTS12"	5.01447294260968	5.08371941351123	5.70843397745434	6.17394276585574
"ADAMTS13"	5.97981721408495	5.90470077161704	6.38736689367346	6.56985629993089
"ADAMTS2"	5.09104360276278	5.52287566441071	5.35250921048572	6.02311738887919
"ADAMTS20"	3.76766784041475	3.79124224431558	4.21310135697125	4.54184226722128
"ADAMTS3"	4.86795812374135	3.59904171887636	3.58968332102252	3.67996985057054
"ADAMTS5"	4.63698901239328	4.58878079448226	7.11769108693628	5.29442796830077
"ADAMTS6"	4.01556706800696	4.30886214049147	4.62395140931602	5.24487834320492
"ADAMTS7"	5.27725792949941	5.09663724060269	5.51257321829	5.92391354861805
"ADAMTS8"	3.83839481144045	3.93962617011771	4.07198227622825	4.36354695380647
"ADAMTS9"	4.7788791070492	4.87841762163495	5.42558772604502	6.21860160710867
"ADAMTSL2"	4.04267651265392	3.77240307465878	4.58091638595415	4.45389255163453
"ADAMTSL3"	4.59623530152174	4.03418934957504	4.47340142459569	4.50990775606014
"ADAMTSL4"	4.75667921895777	4.71789710986118	4.93813265401924	5.6354782404743
"ADAP1"	6.31373580302204	6.15412062993167	6.54330677346432	6.79069058259531
"ADAP2"	5.89018305676023	5.64929758714654	6.17343165836936	6.41750960691589
"ADAR"	11.5400373611381	10.2814957282761	10.8957206092635	9.66387109476234
"ADARB1"	5.41554705729314	5.68775384809351	5.70501784419425	5.71111050952548
"ADARB2"	4.18180260302268	5.44617724986722	4.29493286813133	4.76397410107054
"ADAT1"	7.31713899713335	6.37209032094092	6.4154972598817	5.60280193425722
"ADCK2"	6.33704546114816	5.90503121380228	6.17991122867206	6.52206100795685
"ADCK3"	8.36590954288316	8.42326416006317	8.09993721236711	8.16129523901142
"ADCK4"	4.8244338279025	4.5907640739646	4.83610373267634	5.2042709885341
"ADCY1"	5.44516602841851	5.83275278773633	6.15361323615313	5.83819055162945
"ADCY10"	3.67109248219644	3.82120043441271	4.14124856645796	4.14691876330877
"ADCY2"	5.39659373099492	6.14918100843593	6.55102036639857	5.6863019162002
"ADCY3"	6.43481787895044	6.13400414821107	6.30868361762731	6.35580466295692
"ADCY6"	7.48514398461515	5.90177817099531	6.03624901938265	5.82460941822804
"ADCY7"	6.13307278791089	3.99671023611001	4.43672165672786	7.13849020143524
"ADCY8"	4.76345269437254	4.49326568800565	4.80634241891229	5.0531833603586
"ADCY9"	5.61206838435069	5.52693394976719	5.58126311009167	5.58870718051492
"ADCYAP1"	4.08115098882257	8.90413327869277	5.74510100841623	5.24217915361346
"ADCYAP1R1"	4.31730815343177	4.31913750563433	4.5273349188219	4.40872394640054
"ADD1"	8.03825256928575	7.76690772549342	7.55416488356467	6.90170215823704
"ADD2"	6.63845537099281	6.47107410249486	7.6700871906767	6.52194644972685
"ADD3"	9.56613266194158	8.81524745569919	9.10776758640534	8.05339325664037
"ADD3-AS1"	4.22422637032782	4.28108362896142	4.41394107498526	5.0564415801347
"ADGB"	3.38471670807301	3.4675086208392	3.43258952059254	3.67236115882463
"ADH1A"	4.11464751466448	4.6704905392814	4.6704905392814	6.02191198972112
"ADH1B"	3.93917526875541	3.97232408748302	4.45218131770875	4.78554455059166
"ADH1C"	3.47405590948145	3.4936029889071	3.54931446590862	3.61447616462615
"ADH5"	8.72783348090206	8.3785039941497	8.39882657040332	6.69242638097762
"ADH6"	4.29819278092133	4.42326510035732	4.66630747205081	4.99347291430128
"ADH7"	4.44384200057694	4.3962290298157	4.75138741387245	5.2118954454322
"ADI1"	9.54572236036623	6.67003678011125	8.0468513359969	9.05715884223567
"ADIPOQ"	3.4346642111548	3.40262044411169	3.77358369391555	4.82010537743394
"ADIPOR1"	8.46500755969442	8.39415546014439	8.62063439242402	7.71750029792023
"ADIPOR2"	8.4524490511547	7.85997432389207	8.34370624454048	7.91768120733603
"ADIRF"	7.48847109280678	7.34884693399276	5.17884223324555	5.35307390394565
"ADK"	6.98635506474927	6.71675824496877	5.71636779197988	6.15350630354925
"ADM"	7.51536478274939	7.46528905840313	6.87662980907958	7.5160134545448
"ADM2"	6.3715480027085	6.32674908146501	6.5854903920601	7.55428509466759
"ADNP"	9.37398824053663	9.52329356380202	9.89271445865638	8.76692357584068
"ADNP2"	8.68176324179435	8.05981551112161	8.1404681532999	8.03135832857378
"ADO"	7.70577706457026	6.50491415987061	6.23915562857814	6.17947855080384
"ADORA1"	5.39077963346211	5.53289135717709	5.86449189072455	5.97826261483143
"ADORA2A /// SPECC1L-ADORA2A"	5.55484390448549	5.63710886366384	6.28500235105256	6.12018227338735
"ADORA2B"	5.44382560725125	5.2100708417536	4.76870846335101	5.90974439638389
"ADORA3"	5.42466673767804	5.295706151044	5.8033623929718	6.1537222841259
"ADPGK"	7.75426136166007	7.01431743993967	7.20687122267834	7.64234301509202
"ADPRH"	5.39765420454013	5.3002652839693	5.84423338979234	6.3800030926069
"ADPRM"	5.04936775983976	5.55391717823663	5.38997229258826	5.37886682570054
"ADRA1A"	3.7923584548121	3.88165770192232	4.12565793869278	4.9382631457586
"ADRA1B"	3.39336242313128	3.67563548382344	3.45586653444646	3.55290232435246
"ADRA1D"	4.01845344431802	4.07188615608325	4.18294834016716	4.78022213605023
"ADRA2A"	4.44364700130242	4.10093628845074	7.01409446188575	4.86026397959223
"ADRA2B"	5.5194118755166	5.53293602413108	5.57563689380381	6.15243186544518
"ADRA2C"	4.8255753470958	4.93295740492829	5.09679051638412	5.45284133109163
"ADRB1"	3.42408172462964	3.57983740239118	3.73369535152868	4.23029896463233
"ADRB2"	4.35108882411829	4.07064399323856	4.44344783146614	5.39775626921437
"ADRB3"	4.86444369625504	5.09956571478201	5.17991510413676	5.89371001513975
"ADRBK1"	6.81692234633276	6.73712885819041	6.99699731699018	7.60150461391678
"ADRBK2"	5.0364700218218	5.1668289601385	5.0388414787287	5.44968546426196
"ADRM1"	8.36398095996213	7.60554791699549	8.7047698055993	7.5650575044686
"ADSL"	8.90123506234077	8.25820880351973	8.42494570932634	7.52257752228663
"ADSS"	7.46061450637409	7.3831743655514	7.34011727372558	7.22522107697588
"ADTRP"	4.70188673073488	4.91202908461986	5.24019480173896	6.05888942649295
"AEBP1"	8.62429500621388	5.94360321117508	6.60781440892697	6.84131433989837
"AEN"	6.06355968975449	5.53583528032989	6.40872564047263	6.68726056369442
"AES"	7.49815497099418	8.62295813991529	7.85880413850259	7.16254124104226
"AF007147"	4.5296991720893	5.17154652548128	5.23764896646747	5.65771961296826
"AF070581"	3.73770992651308	5.77387203479739	3.84495116583016	4.96255776651585
"AF090939"	6.13508753499252	6.2205587257933	6.05159231941594	6.30773822911621
"AF198444"	3.34242277458773	3.39115686495577	3.52743006574937	3.93633705579762
"AFAP1"	3.34776602287733	3.34776602287733	3.44038279930297	3.40488915233256
"AFF1"	5.76912494893924	6.27820629807091	6.48251579231741	6.71589169017621
"AFF2"	4.97149988660276	4.76149721479191	5.12654642974185	5.86964199131126
"AFF3"	4.13165797282363	4.16577129992605	4.26929509589216	4.57285684505949
"AFF4"	4.07746429557965	4.47102900017345	4.02858174081798	4.86544628043861
"AFG3L2"	7.8324191678734	8.54858833668118	8.31542161837482	7.48392122631644
"AFM"	4.00553177708637	4.00848509199618	4.22897004171764	4.3675457290488
"AFP"	3.92927663907371	4.21765884346707	4.25681798817016	5.08814183504475
"AFTPH"	9.33480532090974	8.8741812722949	9.6195770382699	9.11715824698439
"AGA"	6.4916328460122	6.03475669084048	5.56718131958555	5.56811595415912
"AGAP1"	7.39087549257482	8.48023721982173	8.09118445549158	6.6016080320425
"AGAP10 /// AGAP11 /// AGAP4 /// AGAP5 /// AGAP9 /// BMS1P5 /// CTGLF12P /// LOC101060581"	8.61622954079169	8.68874124524745	7.78234294532452	7.4068596662796
"AGAP11 /// AGAP4 /// AGAP6 /// AGAP7P /// CTGLF12P /// LOC101060581"	8.80749560453173	8.6928312920436	7.84721588479889	7.58820646273102
"AGAP2"	4.744860888045	4.62720870988701	4.93273579312435	5.32490628644859
"AGBL2"	3.98337168028297	4.4628698601798	4.57185372215174	5.17597504605782
"AGBL3"	3.02026329995852	3.10375094101137	3.09924154657831	3.24649567734932
"AGBL5"	7.89485212423883	7.18520491772463	6.69478195920562	6.11093170662157
"AGER"	5.27952804779865	5.15605679828462	5.36138490362804	5.71670249464401
"AGFG1"	5.81810462675597	5.38441700038655	5.35252332445188	5.92506639558282
"AGFG2"	5.23483888145927	5.17081307325987	5.28474007569348	6.05300963578908
"AGGF1"	5.79695301981072	5.84001521351461	5.8758220300674	5.29648333888566
"AGK"	6.58462096014883	7.13804941882345	7.14684027830623	7.58373578271141
"AGL"	8.40674678052823	8.36790880411668	8.70342983063934	7.10841943131362
"AGMAT"	4.59950530678575	4.56624765948903	4.89088326205722	5.68452395065686
"AGO1"	7.92722869375034	7.94983531916233	8.22575834312478	7.80585112655851
"AGO2 /// CASC7 /// CASC7 /// DQ574852"	7.70656819000866	7.68490575333658	8.12754500198065	8.42254039249426
"AGO3"	7.93422547909476	7.73437571881395	8.26773252271294	7.26787087962528
