"GSM3478634"	"GSM3478635"	"GSM3478636"	"GSM3478637"	"GSM3478638"	"GSM3478639"	"GSM3478640"	"GSM3478641"	"GSM3478642"	"GSM3478643"	"GSM3478644"	"GSM3478645"
"ABCA2"	4.50705666666667	4.534397	4.566823	4.79167433333333	4.591977	4.81697433333333	4.36019866666667	4.26545666666667	4.399642	4.77474433333333	4.897551	4.86441266666667
"ABCA3"	7.092644	6.723905	6.743567	6.772748	6.693759	6.728506	5.72075	5.726137	6.001989	6.849531	7.304835	7.340342
"ABCA4"	3.279518	3.431863	3.537382	3.449966	3.317198	3.5881255	3.7584775	3.6440925	3.6608	3.4562375	3.519423	3.482419
"ABCA5"	5.0859645	4.7505925	4.611409	5.099997	5.2125865	5.1838975	5.575378	5.491609	5.6150745	8.5334015	8.603894	8.5680785
"ABCA6"	2.665577	2.363877	2.636616	2.735283	2.857341	2.714549	2.654826	2.714549	2.67465	3.437556	3.562914	3.57452
"ABCA7"	6.91595	6.541651	6.920721	6.844531	6.844658	6.688561	5.861795	6.084874	6.107718	8.345972	8.176787	8.32163
"ABCA8"	3.73181266666667	3.64031633333333	3.872574	3.49531833333333	3.34378233333333	3.437739	3.43667633333333	3.46460433333333	3.441826	2.89868866666667	2.90462166666667	2.57071666666667
"ABCA9"	2.61579366666667	2.39634066666667	2.40759566666667	2.576285	2.50181733333333	2.49788766666667	2.58385333333333	2.40349366666667	2.542838	3.16189833333333	3.02456633333333	2.94917833333333
"ABCB1"	2.6784375	2.9144645	2.7649925	2.8521365	2.6709675	2.6720175	2.715526	2.6468355	2.5708665	2.597724	2.612745	2.6537775
"ABCB1 /// ABCB4"	3.349522	2.988335	3.146372	3.121017	3.168396	3.15909	2.829557	2.861278	2.775239	2.823826	2.56449	2.978305
"ABCB10"	8.631289	9.196287	8.902893	9.119952	9.147638	9.171814	8.16444	8.066236	8.183715	8.348305	8.183203	8.250666
"ABCB11"	3.3216505	3.329776	3.467007	3.5496505	3.280044	3.2745925	3.238868	3.1802425	3.430147	3.0906605	3.2463815	3.1894005
"ABCB4"	2.803297	3.006581	2.621563	3.070054	2.9641025	2.9834285	2.6306795	2.602205	2.675856	2.699333	2.849621	2.690516
"ABCB5"	2.66647925	2.79479725	2.981379	2.72040975	2.84185525	2.73442325	2.75703725	2.9023385	2.793264	2.712963	2.828034	2.81028075
"ABCB6"	6.0900965	5.677901	5.7196465	5.9898185	6.010579	6.3231	5.3900215	5.3581305	5.4795385	5.0315205	5.397883	5.2341955
"ABCB7"	9.379406	9.294994	9.151412	9.728966	9.581646	9.71615	9.284662	9.38398	9.346143	9.201108	9.093561	9.238902
"ABCB8"	5.5667275	5.3744165	5.6450605	5.234572	5.2864875	5.429147	5.3023255	5.3464505	5.3500545	5.4422425	5.521719	5.567639
"ABCB8 /// ASIC3"	3.094312	3.224595	3.484379	3.344296	3.220038	3.414372	3.170043	3.545993	3.396504	3.195648	3.393437	3.317324
"ABCB9"	4.79341533333333	4.32992433333333	4.345969	4.631847	4.50502233333333	4.36592233333333	4.89957566666667	4.935266	5.059598	5.30396566666667	5.26837966666667	5.43229666666667
"ABCC1"	8.3304735	8.03542	7.947668	8.6986475	8.6648455	8.4568705	7.655418	7.71629	7.741058	6.157969	6.212548	6.186304
"ABCC10"	7.752669	7.4208795	7.446175	7.342382	7.3503435	7.373138	7.38751	7.3476185	7.3937545	7.108449	7.082198	7.067464
"ABCC11"	3.035902	3.1392755	3.24785	2.814852	3.1041415	3.207807	3.1864155	3.139702	3.2175395	3.336173	3.1500975	3.1997275
"ABCC12"	5.032993	4.5708075	4.558438	5.025663	5.1916575	5.231788	2.8755145	3.1499565	2.771755	2.9411355	2.8801995	2.972427
"ABCC13"	2.5702265	2.6889485	2.7064185	2.60509875	2.751093	2.71617	2.61707825	2.65898575	2.574174	2.55955975	2.67841825	2.71931525
"ABCC2"	3.296784	3.354822	3.552548	3.225167	3.448191	3.373987	4.411416	4.02316	4.275868	3.183201	2.860836	2.823256
"ABCC3"	6.1210694	5.9529396	6.0536728	4.740882	4.7591482	4.7826078	6.2031396	6.2197656	6.2217164	4.6411096	4.6788742	4.735794
"ABCC4"	6.62536875	6.40265225	6.3130935	6.8439175	6.9030685	6.7323745	6.3778245	6.5253635	6.4191815	5.1615615	5.0300705	5.12662875
"ABCC5"	8.39430233333333	8.25688833333333	8.304265	8.82942933333333	8.80954866666667	8.86840066666667	6.68710166666667	6.71540266666667	6.67444	7.14232633333333	7.02850066666667	7.08418833333333
"ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322"	4.521966	4.803979	4.948247	4.609428	4.655162	4.440347	5.763243	5.614153	5.944743	4.662764	4.544265	4.586303
"ABCC6 /// LOC101930322"	3.9260115	3.752796	3.700842	3.8959435	3.997246	3.9853265	3.9193465	3.941138	3.9476525	3.8103605	3.958183	3.726998
"ABCC6P1"	2.197118	2.297335	2.304382	2.239312	2.305457	2.316039	2.457845	2.534621	2.367674	2.027848	2.20689	2.259388
"ABCC8"	4.3866975	4.5287215	4.5749295	4.5682125	4.451468	4.7537605	4.355308	4.3831835	4.4923595	4.521686	4.654241	4.530742
"ABCC9"	2.9899866	2.93479	2.9132688	2.9292272	2.838911	2.9182888	3.6927864	3.7520976	3.6038728	2.8537598	2.8508452	2.9173198
"ABCD1"	5.438984	5.199144	5.416623	5.198013	5.038164	5.442531	5.685523	5.61	5.835428	5.307639	5.417252	5.400497
"ABCD1P2 /// ABCD1P2"	2.819789	2.769236	2.757963	2.664982	2.483677	2.704165	2.775375	2.659436	3.120335	2.658074	2.710258	2.891896
"ABCD2"	2.272982	2.085766	2.018007	2.106295	2.197478	2.190887	2.130831	2.081141	1.930344	1.94674	2.04439	2.033722
"ABCD3"	8.690348	8.943713	8.817505	9.180688	9.2280095	9.171005	9.227639	9.2249835	9.234961	8.698017	8.7539785	8.7366365
"ABCD4"	5.597914	5.7403335	5.733343	5.9791785	5.967135	5.9516245	6.004501	5.922516	5.9720315	5.6334045	5.5972565	5.5107845
"ABCE1"	9.4159555	9.515644	9.420361	9.664182	9.611064	9.655398	9.433156	9.4193065	9.320821	8.550676	8.523321	8.497926
"ABCF1"	9.922032	9.647844	9.679296	9.526482	9.508307	9.500214	9.05184	8.983162	8.995177	9.181218	9.204756	9.213938
"ABCF2"	6.6530052	6.3965648	6.438492	6.3454108	6.3632462	6.320009	6.7181786	6.6370232	6.6210506	6.248224	6.2370164	6.221352
"ABCF3"	7.226666	6.79411	7.086029	7.170947	7.150197	6.969111	7.252449	7.284331	7.327814	6.662056	6.702173	6.644642
"ABCG1"	3.410869	3.37923275	3.21834275	3.4033285	3.39983625	3.44977025	3.16728625	3.28698575	3.39592675	7.01609275	7.0060855	7.11577775
"ABCG2"	2.160345	2.686663	2.723239	2.635097	2.701197	2.561217	2.823167	2.752187	3.210243	2.608743	2.896015	2.503377
"ABCG4"	5.311706	4.83972	5.17848	4.821963	4.802261	4.981917	4.895985	4.741067	4.524072	5.165911	4.885362	4.924496
"ABCG5"	2.75548	2.944107	2.993385	3.097109	2.7633	2.770175	2.697448	2.473277	2.824021	5.990359	5.803733	5.875412
"ABCG8"	3.609862	4.170516	4.261806	4.007953	3.970516	4.089087	4.091129	4.170966	4.15428	3.946386	4.378305	4.093073
"ABHD1"	3.871443	3.94579866666667	3.89153066666667	4.02282733333333	3.830528	3.806754	3.89350733333333	3.974179	3.99678766666667	3.83605533333333	3.85100966666667	3.913151
"ABHD10"	8.878274	8.5634135	8.5661235	8.5576235	8.504617	8.47543	8.3340065	8.4022775	8.3887785	8.7743355	8.7875875	8.7600085
