"GSM3478634"	"GSM3478635"	"GSM3478636"	"GSM3478637"	"GSM3478638"	"GSM3478639"	"GSM3478640"	"GSM3478641"	"GSM3478642"	"GSM3478643"	"GSM3478644"	"GSM3478645"
"ALS2CL"	4.60146166666667	4.77307466666667	4.88529166666667	4.70228933333333	4.83739833333333	4.89138633333333	4.77563	4.63533633333333	4.718762	4.53427933333333	4.73375266666667	4.69197966666667
"ALS2CR11"	2.35676116666667	2.19877433333333	2.35230333333333	2.25164933333333	2.2507265	2.164143	2.24322966666667	2.23960916666667	2.25235483333333	2.1807365	2.1700635	2.202304
"ALS2CR12"	3.299647	3.222033	3.47676	3.2874035	3.2339675	3.248754	3.218739	3.135091	3.0160225	3.1875075	3.233463	3.0983205
"ALX1"	3.983137	3.400335	3.583519	3.229913	3.255331	3.682012	3.585081	3.457132	3.445794	3.401034	3.312914	3.497133
"ALX3"	4.226984	4.12729	4.54311	3.818737	4.019074	4.186989	4.046677	3.871116	4.142786	4.090847	3.845369	4.085115
"ALX4"	4.227816	4.517925	4.990437	4.644289	4.672305	4.74896	4.380863	4.313334	4.590287	4.549401	4.59334	4.324499
"ALYREF"	11.32962	11.04831	11.12027	11.17756	11.09878	11.0936	11.254715	11.25611	11.28897	11.67379	11.68263	11.75411
"AMACR"	3.984078	3.98127433333333	3.79208233333333	3.88665866666667	4.02236566666667	3.961256	3.65965266666667	3.65375233333333	3.75723633333333	3.64746833333333	3.591235	3.836822
"AMACR /// C1QTNF3-AMACR"	7.04877866666667	6.81574533333333	6.633774	7.365244	7.36407566666667	7.28095933333333	6.834042	6.71470966666667	6.79229333333333	6.37666733333333	6.27955066666667	6.28192066666667
"AMBN"	3.031974	3.496583	3.397794	3.438557	3.161211	3.476966	3.469519	3.489739	3.485322	3.525777	3.406609	3.470293
"AMBP"	4.455388	4.4328585	4.680062	4.4692165	4.697263	4.5719745	4.4397385	4.335338	4.3238485	4.299996	4.430323	4.33723
"AMBRA1"	5.22420225	5.19002925	5.06433075	5.31150325	5.40969975	5.27100975	5.02664125	5.30139725	5.145715	5.31421875	5.3569575	5.321782
"AMD1"	9.669626	9.626059	9.534799	9.737708	9.7872325	9.8330305	9.588475	9.629896	9.55558	9.0980215	9.0613915	9.0401935
"AMDHD1"	2.717768	2.93941	2.767356	3.081326	2.767931	2.771369	2.878831	2.68315	2.961365	2.319577	2.421061	2.503598
"AMDHD2 /// CEMP1"	5.6707335	5.5763925	5.576082	5.628577	5.6968645	5.6440275	5.597677	5.7754615	5.861794	5.5326145	5.6985405	5.6954355
"AMELX"	2.459917	2.342431	2.386087	2.641602	2.478235	2.567175	2.515565	2.316486	2.561936	2.223003	2.610255	2.638424
"AMELY"	3.302355	3.243771	3.604453	3.518478	3.415451	3.485567	3.636902	3.513342	3.499982	3.341841	3.563244	3.519392
"AMER1"	4.666277	4.367628	4.234802	4.72761	4.679284	4.822137	4.245794	4.260985	4.336489	4.590149	4.470978	4.550925
"AMER2"	2.92288933333333	2.89692066666667	3.27510166666667	3.06508866666667	2.95906766666667	2.95586766666667	3.89097266666667	4.000598	3.90675966666667	8.27044466666667	8.567005	8.34537833333333
"AMER3"	3.845695	3.95167233333333	4.04006266666667	3.88504166666667	4.002021	4.09399966666667	3.86321166666667	3.91085933333333	3.76370466666667	4.58481566666667	4.73252533333333	4.95250166666667
"AMFR"	8.6689695	8.3588925	8.3017115	9.4548165	9.4641875	9.423783	8.2276265	8.227742	8.2530475	7.6193855	7.677936	7.5997635
"AMH /// MIR4321"	4.421761	4.308133	4.1395	4.727333	4.457106	4.352487	4.906631	4.460027	4.633971	5.21803	5.139985	4.55585
"AMHR2"	4.756355	4.351621	4.464412	4.978014	4.377651	4.460348	4.23712	4.475757	4.185857	4.486297	4.035501	4.201335
"AMICA1"	5.009032	4.548364	4.833578	4.712862	4.757486	4.828705	4.359955	4.244849	4.293602	4.286855	4.478881	4.292997
"AMIGO1"	3.901349	3.764971	3.967042	3.988281	4.294181	4.198825	5.197155	5.0011	5.411154	7.045557	7.067722	7.043632
"AMIGO2"	9.30369	9.548791	9.494728	3.327466	3.32445	3.075911	9.933664	9.874203	9.911709	9.834124	9.696257	9.775498
"AMIGO3 /// GMPPB"	6.74161366666667	6.551575	6.59528966666667	6.66932966666667	6.58477233333333	6.57525633333333	6.50544966666667	6.55849866666667	6.522381	6.82294333333333	6.85858933333333	6.89469733333333
"AMMECR1"	6.9927735	6.9358715	6.7849845	7.227457	7.1650395	7.150877	7.76382925	7.863641	7.76115675	6.22119675	6.2466875	6.10957125
"AMMECR1L"	8.77852	8.476764	8.502063	8.609057	8.608526	8.688514	8.66996	8.721482	8.669829	8.978924	8.897761	9.069494
"AMN"	4.494504	4.48524133333333	4.505148	4.66903466666667	4.66980033333333	4.641476	4.43615666666667	4.49809366666667	4.449616	4.33470066666667	4.41005666666667	4.35686866666667
"AMN1"	7.15625	6.676581	6.664474	7.096131	6.896069	6.924459	6.10812	6.092264	6.0221	7.667489	7.632139	7.581716
"AMOT"	3.329495	3.0108	2.943534	2.826445	2.688242	2.898827	3.451991	4.092831	3.466743	3.650717	3.598152	3.608675
"AMOTL1"	6.9926795	6.54509325	6.8088825	6.832961	6.763349	6.84864625	6.8308135	6.84545725	6.892123	7.33029825	7.3711155	7.331271
"AMOTL2"	9.43314	9.550388	9.421301	6.6292	6.772506	6.741294	9.080801	8.954431	9.005699	5.955238	5.873564	6.015163
"AMPD1"	2.913694	3.490307	3.604454	3.672415	3.223923	3.316611	2.980172	3.029777	3.12304	2.975813	3.067113	2.992538
"AMPD2"	8.15077	7.686539	7.695605	7.771676	7.75396	7.727623	7.734226	7.635025	7.660218	6.21765	6.085686	6.246659
"AMPD3"	9.752968	9.6439	9.660967	10.93714	10.92814	10.91901	6.711861	6.579757	6.809835	7.959036	7.977631	7.910653
"AMPD3 /// CAND1.11"	4.881679	4.458071	4.767765	5.073368	5.196604	5.079198	4.024964	4.272197	4.098862	4.298546	4.386613	4.261128
"AMPH"	9.565823	9.443342	9.494777	8.640393	8.666406	8.678233	8.586174	8.589171	8.590079	9.534906	9.428639	9.475473
"AMT"	6.133925	6.054878	6.186178	5.677911	5.702673	5.680338	6.053639	6.055489	5.918943	6.384164	6.483174	6.679984
"AMZ1"	4.7533575	5.0038275	5.268754	4.845168	5.0144135	5.003154	5.128565	4.896385	4.93054	4.8297505	4.7892165	4.8352975
"AMZ2"	10.49231	10.36382	10.35868	10.40349	10.3884	10.32578	10.18616	10.22918	10.23904	10.53854	10.48718	10.53777
"AMZ2P1"	7.160539	7.025472	6.896936	7.111822	7.066702	7.075966	6.945045	6.919965	6.84784	7.515969	7.268626	7.356056
"ANAPC1 /// LOC101930107 /// LOC285074 /// LOC730268"	7.105208	6.874425	6.909258	6.490951	6.413807	6.412529	6.525666	6.689984	6.455607	6.702895	6.702895	6.738279
"ANAPC1 /// LOC730268"	8.172146	7.7791065	7.8831505	8.1123115	8.1206345	8.1138915	7.635049	7.613228	7.6523505	7.7566105	7.7728675	7.824853
"ANAPC10"	6.9899665	7.3281135	7.1504435	7.2576015	7.3354825	7.3847565	6.294135	6.325901	6.2985235	6.9443985	6.7408775	6.798295
"ANAPC11"	8.0041495	7.735906	7.726449	7.8421	7.782678	7.681557	8.30342	8.320603	8.367344	8.0567645	8.089695	8.133861
"ANAPC13"	6.6449325	6.643945	6.550661	6.5383385	6.692382	6.6922715	6.499152	6.2674185	6.528127	6.3077305	6.2602145	6.4335775
"ANAPC15"	7.350316	7.085084	7.108913	7.367584	7.395236	7.37802	6.85854	6.743686	6.778832	6.661645	6.656554	6.746483
"ANAPC16"	9.09215325	9.21377175	9.15931425	9.318385	9.34427175	9.285247	8.819018	8.9073445	8.92530975	9.41414975	9.43176	9.44376675
"ANAPC2"	6.072395	5.684021	5.825975	6.168262	5.975149	6.134612	6.5129	6.641038	6.476358	6.683972	6.745016	6.782579
"ANAPC4"	8.37559	8.3026015	8.2017205	8.596319	8.6369405	8.607198	8.4029915	8.402469	8.3667445	8.396595	8.3546305	8.406787
"ANAPC5"	8.36170666666667	8.26186	8.1823155	8.56100416666667	8.53461916666667	8.50664666666667	8.5339055	8.55690333333333	8.5614855	8.79834866666667	8.774007	8.75426016666667
"ANAPC7"	8.813307	8.625767	8.5712415	8.9433705	8.940508	8.937314	7.7693545	7.708365	7.7019525	8.5989275	8.5780705	8.5644745
"ANG"	6.228612	5.637063	5.791669	4.974687	4.777155	4.803147	7.943108	7.96766	8.029688	3.79693	3.619843	3.994858
"ANGEL1"	6.082275	5.95436133333333	5.93111466666667	6.16468833333333	6.139523	6.14899133333333	5.942076	5.844817	6.001666	5.93792033333333	5.97965633333333	6.06453966666667
"ANGEL2"	7.80664	7.694986	7.604321	8.01308933333333	7.993476	7.89586333333333	6.95525366666667	6.88326433333333	6.922705	7.122641	7.07569266666667	7.07305466666667
"ANGPT1"	2.74653466666667	2.52994866666667	2.38441466666667	2.49506533333333	2.41766566666667	2.40013466666667	2.95059466666667	3.05450066666667	3.16646833333333	2.42136633333333	2.46785733333333	2.343195
"ANGPT2"	2.854608	2.6079895	2.6919235	2.6515235	2.5410435	2.5967205	2.62963675	2.68352575	2.613263	2.50732475	2.6008565	2.76465225
"ANGPT4"	3.983137	4.68745	4.785143	4.499576	4.661622	5.152756	4.729218	4.495801	4.656647	4.589952	4.780147	4.628465
"ANGPTL1"	3.314472	2.62365633333333	2.75786833333333	2.25230266666667	2.27360533333333	2.33514	2.300157	2.209915	2.298553	2.209369	2.29128833333333	2.28335266666667
"ANGPTL2"	6.44203833333333	6.05993633333333	6.10823233333333	6.52375733333333	6.46371433333333	6.320893	5.513405	5.522284	5.57218233333333	4.399312	4.652141	4.624935
"ANGPTL3"	3.132978	2.56736666666667	2.71833833333333	2.67864633333333	2.71607166666667	2.77191933333333	2.490829	2.56670333333333	2.63387833333333	2.44358433333333	2.611498	2.584578
"ANGPTL4"	6.48799	6.0136075	6.046474	6.069425	5.854054	5.9202255	8.7653715	8.9577835	8.9770335	5.2365585	5.218871	5.3260635
"ANGPTL6"	3.928222	3.848821	4.116956	3.833292	3.86704	3.920663	4.00104	4.137987	4.033625	4.006539	4.252807	3.981316
"ANGPTL7"	5.744544	5.876856	5.950696	3.745663	4.169147	3.491906	3.415675	3.234072	3.560742	3.248534	3.443955	3.295998
"ANHX"	4.652594	4.806857	4.776732	4.888365	4.6435975	4.6615395	4.9684885	4.714946	4.7384875	4.747612	4.8174275	4.7740845
"ANK1"	4.85289328571429	4.92246642857143	5.08535614285714	5.39503614285714	5.44069371428571	5.27125842857143	5.36385028571429	5.43109971428571	5.44756	7.56011314285714	7.62281471428571	7.65697771428571
"ANK2"	4.1021885	4.168077	4.1438205	4.4693185	4.5529135	4.44705025	4.09391175	4.02036775	4.05928825	4.8870865	4.902681	4.83897625
"ANK3"	5.5490552	5.4289218	5.3612836	6.3035744	6.250692	6.1304324	7.1604062	7.2047076	7.2231772	5.5552494	5.5194736	5.5797064
"ANKAR"	2.6535505	2.6234445	2.7125865	2.4401325	2.6306395	2.5684685	2.361654	2.454316	2.2979455	2.322646	2.3477525	2.3915465
"ANKDD1A"	5.0472755	5.0522765	4.82455	4.910042	4.61111	4.4306915	3.320156	3.330286	3.260597	4.187354	4.0386075	4.1022715
"ANKEF1"	4.954926	4.7019225	4.702261	4.1311935	4.171017	4.2326345	4.9176975	4.9052965	4.9241365	6.60514	6.6048725	6.5090775
"ANKFN1"	4.2065045	4.374141	4.201283	4.4779285	4.484269	4.539996	3.940803	4.112045	4.1094495	4.0119435	4.041532	4.220005
"ANKFN1 /// BC037494"	2.238592	2.139305	2.281775	2.383458	2.270783	2.33867	2.200612	2.168441	2.281065	2.055111	2.22576	2.265367
"ANKFY1"	6.29392875	5.91304525	6.0504175	5.9285285	5.9673535	5.920196	6.15775825	6.150346	6.15621525	6.269638	6.2417365	6.264147
"ANKH"	4.95760357142857	4.71284185714286	4.89268414285714	4.16170942857143	4.14165714285714	4.11658371428571	5.23959	5.32714157142857	5.33459985714286	5.487753	5.47776942857143	5.53058728571429
"ANKHD1"	5.458772	5.474678	5.32023	5.943005	6.059805	5.780544	3.79123	3.928475	3.944351	4.691635	4.643297	4.72456
"ANKHD1 /// ANKHD1-EIF4EBP3"	8.6666305	8.50103825	8.479211	8.79845425	8.7676415	8.66614725	7.3266665	7.3681165	7.31974975	8.01862475	7.9864605	7.98929875
"ANKHD1 /// ANKHD1-EIF4EBP3 /// EIF4EBP3"	7.467517	7.123059	7.150766	7.34908	7.448036	7.437681	6.335364	6.444645	6.424458	6.713557	6.809028	6.790419
"ANKIB1"	7.81858566666667	7.64874533333333	7.62459666666667	7.08498066666667	7.101245	6.96977333333333	8.47821666666667	8.448739	8.543842	7.63212866666667	7.72997266666667	7.64773166666667
"ANKLE1"	3.879858	3.591537	3.604453	4.027141	3.764475	4.170131	3.330188	3.34316	3.292468	3.480182	3.619842	3.47314
"ANKLE2"	6.317441	6.14506833333333	6.062877	6.07954966666667	6.15283633333333	6.225417	6.19678466666667	6.24713466666667	6.10413933333333	6.45201233333333	6.489806	6.60549633333333
"ANKMY1"	4.27712666666667	4.21225166666667	4.280709	4.21455	4.21751433333333	4.36356766666667	4.15071866666667	4.09537566666667	3.91959	4.482152	4.345482	4.39919533333333
"ANKMY2"	9.213107	8.86415	9.003034	8.663462	8.608572	8.615298	8.910908	8.945551	8.96147	8.476583	8.581374	8.551878
"ANKRA2"	7.901984	8.211836	7.980886	8.190088	8.236629	8.168964	7.228599	7.218989	7.16861	7.954756	7.933123	7.898236
"ANKRD1"	4.125246	4.492301	4.712442	2.330282	2.21095	2.537802	3.008839	3.167614	3.331789	2.376593	2.261056	2.588392
"ANKRD10"	6.231393	6.12349475	6.00692225	6.32125575	6.37676975	6.21347125	5.68138875	5.72028725	5.69420325	5.770059	5.758836	5.82488425
"ANKRD10-IT1"	7.721731	7.8200305	7.7997005	8.0769315	8.1236055	8.0236535	7.225775	7.353964	7.2028955	7.471881	7.494899	7.5103405
"ANKRD11"	7.936863	7.590084	7.56234616666667	7.830579	7.82451983333333	7.7429165	7.171649	7.2297915	7.26788133333333	7.57688666666667	7.59536883333333	7.6229475
"ANKRD12"	6.9511125	7.00430575	6.95221125	7.1808565	7.226302	7.182093	7.6862565	7.62089425	7.62306775	8.4123005	8.35577275	8.34189475
"ANKRD13A"	7.1299075	6.623596	6.7530115	6.4318035	6.508029	6.544539	7.037097	7.0384245	7.2787195	6.752106	6.724794	6.775484
"ANKRD13B"	6.024683	5.470969	5.122473	5.773917	5.495413	5.662936	5.050143	5.281312	5.191938	5.156632	5.186857	5.325326
"ANKRD13C"	6.75438	6.9605282	6.7446148	6.8118058	6.8203106	6.5672572	6.5564598	6.514751	6.5082128	6.3202452	6.2374518	6.308676
"ANKRD13D"	5.499065	5.050897	5.168715	5.514044	5.280991	5.26757966666667	5.144202	5.18711733333333	5.16539633333333	5.66284166666667	5.632894	5.62544733333333
"ANKRD16"	6.528292	6.0580745	6.15754	6.343358	6.34175	6.1150985	6.0602885	6.0581585	6.0289975	5.7222255	5.6173405	5.682871
"ANKRD17"	8.5111385	8.475119	8.36293	8.6815615	8.7250885	8.795832	8.9455435	8.889315	8.928737	8.8387665	8.7987585	8.804647
"ANKRD18A"	5.180676	4.7612315	4.6415855	5.627942	5.772603	5.531669	4.5567295	4.4265205	4.479127	6.150949	6.3845665	6.275589
"ANKRD18B"	3.627949	3.397802	3.47364	3.612586	3.703307	3.466701	3.434011	3.423025	3.616812	4.035049	3.151869	3.624167
"ANKRD19P"	5.166386	5.064099	5.398158	4.901297	5.362152	5.412177	5.243997	5.287259	5.216115	5.177657	5.227618	5.160387
"ANKRD2"	4.712976	4.402714	4.649127	4.466186	4.66161	4.48875	4.11822	3.920752	4.116538	4.067127	4.052266	3.826357
"ANKRD20A1 /// ANKRD20A11P /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4 /// ANKRD20A5P /// ANKRD20A9P /// LOC102723891 /// LOC102725051"	4.384022	4.190032	4.418534	3.819637	4.166687	3.730021	4.779046	4.805499	4.975008	8.144506	8.115023	8.271978
"ANKRD20A1 /// ANKRD20A12P /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4 /// ANKRD20A5P /// ANKRD20A8P"	2.239727	2.147724	1.991386	1.900016	2.122802	1.968093	2.083619	2.01008	2.008474	4.509542	4.302695	4.565136
"ANKRD20A1 /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4"	2.268557	2.028424	2.359176	2.261457	2.412035	2.075796	2.117201	2.081115	2.071098	3.107708	3.14184	2.761075
"ANKRD20A11P"	5.782379	5.357057	5.564158	5.397735	5.208934	5.696747	5.434815	5.427836	4.986245	6.713078	6.262414	6.552178
"ANKRD20A12P"	3.1851295	3.46835	3.3538125	3.400285	3.4872525	3.42996	3.19624	3.211626	3.2377395	3.2607505	3.3025885	3.2318765
"ANKRD20A12P /// LOC101059949 /// LOC101060632 /// LOC101927345"	2.974153	2.539587	2.769263	2.781544	2.655593	2.677288	2.533664	2.591864	2.673606	2.319576	2.490144	2.461738
"ANKRD20A5P /// ANKRD20A5P"	5.262416	4.679284	3.918037	3.13013	2.402606	3.057057	3.097428	3.058955	3.022874	3.621217	3.469469	3.52739
"ANKRD22"	3.4723105	3.8250065	3.8770985	3.664257	3.779687	3.703052	5.0879785	5.02524	5.2684155	3.832241	3.9172425	3.759087
"ANKRD23"	3.717845	3.907149	3.604454	4.233639	4.603514	4.30958	3.640593	3.829356	3.499121	5.024487	5.160069	5.077792
"ANKRD23 /// ANKRD39"	4.34537	4.710424	4.661178	5.061285	5.0227935	5.003718	4.9256685	4.789349	4.775124	5.072252	4.904974	5.0673715
"ANKRD24"	4.495873	4.56326466666667	4.64633233333333	4.594737	4.600916	4.843918	4.16708633333333	4.06662666666667	4.244152	4.372108	4.3792	4.40463533333333
"ANKRD26"	5.4623245	5.1491675	4.965126	4.9185645	5.1097715	5.0182075	4.930014	4.79521	4.966238	5.484551	5.2648685	5.277995
"ANKRD26P3"	3.154208	3.241179	3.460581	3.205831	3.032703	3.483699	3.211415	3.235484	3.220806	3.347196	3.195191	3.126639
"ANKRD27"	9.848311	9.801313	9.747357	9.873443	9.928091	9.859082	9.193123	9.154333	9.18222	8.806955	8.828281	8.779332
"ANKRD28"	6.32157675	6.31231075	6.262995	6.25448375	6.38679375	6.220664	6.23668925	6.3290115	6.21079175	6.11279775	6.19147675	5.99978075
"ANKRD29"	4.684916	4.5789295	4.407839	5.6929155	5.872414	5.62132	5.0704265	5.246073	5.3924655	3.4159825	3.317364	3.4797695
"ANKRD30A"	2.32268	2.526352	2.537544	2.547223	2.627141	2.612295	2.547839	2.613118	2.744403	2.608282	2.68315	2.601462
"ANKRD30B"	2.7536885	3.408569	2.953022	2.0288495	2.0376035	1.8487445	1.910862	1.884312	1.9120755	2.005657	2.0097565	1.815846
"ANKRD30BL /// ANKRD30BP2 /// LOC100132004 /// LOC100132154"	2.847517	2.695004	3.028471	3.252801	2.865661	2.924074	3.02489	2.946596	2.993141	2.777823	3.007182	2.913503
"ANKRD30BP2"	3.214253	3.412299	3.576724	3.239446	3.135847	3.658524	3.555888	3.705488	3.341523	3.673636	3.519746	3.493585
"ANKRD30BP3"	3.02974866666667	2.80767533333333	2.75358733333333	2.986809	2.892452	2.81778066666667	2.873504	2.713668	2.758153	2.85517466666667	2.89453	2.90241433333333
"ANKRD31"	2.405932	2.477318	2.766079	2.536692	2.590234	2.638619	2.288356	2.380453	2.614593	2.382783	2.521461	2.441853
"ANKRD32"	7.0013505	7.2706415	7.014164	7.400831	7.496015	7.4544105	6.124058	6.1263095	6.0621065	6.8510635	6.9250265	6.8369385
"ANKRD33"	3.211168	3.254108	3.030942	3.13013	3.314552	3.222265	2.661495	2.839848	3.024841	2.755312	2.693852	3.053239
"ANKRD33B"	6.290333	6.161544	6.045201	6.086647	6.153183	6.290083	5.667184	5.810155	5.397735	6.543249	6.280056	6.451034
"ANKRD34A"	5.830276	5.622025	5.521831	4.00753	4.517004	4.122552	5.196302	5.73718	5.695693	4.596327	4.785594	4.089938
"ANKRD34C"	2.656015	2.726648	2.766621	3.126514	2.745446	2.869264	2.590916	2.750835	2.799861	2.768681	2.727964	2.7512
"ANKRD35"	4.261654	4.549574	4.47534	4.356571	4.258899	4.246865	4.047521	4.310433	4.207983	4.246281	4.146758	3.998641
"ANKRD36"	3.951855	4.2585495	3.9438425	4.180276	4.475853	4.0155405	4.4278145	4.4350205	4.455992	5.879656	5.8174855	5.635298
"ANKRD36B"	7.004784	7.082353	6.874083	7.513678	7.769482	7.487644	7.400763	7.543646	7.455864	8.572298	8.622276	8.712095
"ANKRD36BP2"	3.046243	2.75010466666667	2.75679133333333	2.915369	2.76456033333333	2.83415066666667	3.13924033333333	3.054811	3.07356333333333	3.644722	3.55614733333333	3.49676733333333
"ANKRD36C"	3.117115	2.931302	3.056751	3.131254	3.004177	2.824823	3.037224	3.2633	3.134614	3.918876	3.772105	3.723575
"ANKRD37"	6.2772135	5.644257	5.9259485	4.204698	4.193763	4.1799865	5.277987	5.392128	5.399413	5.2721055	5.2382165	5.305298
"ANKRD39"	6.613733	6.160072	6.451966	6.428738	6.52	6.558661	6.037089	6.258197	6.054834	6.957263	7.171782	7.12343
"ANKRD40"	6.04027466666667	5.81548233333333	6.03445966666667	5.91167833333333	5.852811	5.83287666666667	6.076878	6.02070566666667	6.07668866666667	5.862996	5.89157566666667	5.872657
"ANKRD44"	4.2217556	4.1121712	3.9797588	3.5492258	3.4151724	3.4935784	4.5164592	4.4896176	4.5369762	4.0411984	4.0167244	3.914131
"ANKRD44-IT1"	2.684934	2.36319	2.37771	2.189779	2.614782	2.553172	2.22576	1.879117	2.244895	2.125171	2.054865	2.304253
"ANKRD45"	2.64774	2.539674	2.855095	2.444379	2.513402	2.629405	2.468159	2.440137	2.412651	2.539674	2.203914	2.375493
"ANKRD46"	6.97074	6.963877	6.904087	7.539896	7.698376	7.69393	7.553139	7.503423	7.461209	9.525935	9.53998	9.472991
"ANKRD46 /// GAPDHP62"	5.6319	5.678369	6.172122	6.442502	6.575788	6.634646	6.935936	6.938156	6.864111	7.840681	7.805815	8.046799
"ANKRD49"	8.637245	8.62322	8.671917	8.737373	8.745173	8.646021	7.910162	7.80949	7.885537	8.989957	9.056556	9.036003
"ANKRD50"	6.07400833333333	6.146946	6.199821	6.22929266666667	6.23900666666667	6.20577	7.463524	7.417138	7.50264433333333	6.34528566666667	6.40771966666667	6.509456
"ANKRD52"	7.822789	7.292832	7.508701	7.05107	6.988133	7.080369	7.930485	8.052655	8.127755	7.289445	7.328237	7.404838
"ANKRD53"	4.240769	4.0603045	4.333895	4.149481	4.170461	4.412605	3.9142705	3.9716725	4.059007	4.132745	3.9723625	4.059501
"ANKRD54"	5.6487055	5.750463	5.7219695	5.655275	5.6792685	5.680414	5.2905765	5.4252095	5.1682285	5.794334	5.775637	5.90284
"ANKRD55"	2.429305	2.67802	2.481175	2.394001	2.388459	2.635793	2.500187	2.637071	2.94122	2.531208	2.419852	2.440955
"ANKRD6"	5.6681195	5.6313085	5.6702225	6.780491	6.773382	6.6712625	6.7445585	6.8140985	6.769457	7.6420695	7.5889345	7.599723
"ANKRD60"	3.762973	3.595833	3.711687	3.748441	3.717599	3.845368	3.503309	3.689686	3.54328	3.438944	3.538257	3.627639
"ANKRD65"	5.929469	6.1084745	6.0470045	6.1871095	6.214753	6.3705215	5.4652625	5.401193	5.075973	5.461059	5.3432345	5.4762495
"ANKRD7"	2.501678	2.632052	2.511919	2.422988	2.402606	2.228283	2.322112	2.201835	2.585048	2.425849	2.52704	2.216087
"ANKRD9"	6.93873033333333	6.650829	6.74863966666667	6.88170766666667	6.77003433333333	6.78721866666667	7.167448	7.29747966666667	7.22575833333333	6.828796	6.83363666666667	6.853664
"ANKS1A"	8.981497	8.832397	8.750115	8.970303	8.941935	8.9731	8.194351	8.254917	8.364009	10.46829	10.42765	10.47167
"ANKS1B"	5.7500294	5.6697286	5.5415424	3.0636612	3.0294388	3.2359784	3.4018178	3.3784458	3.3998094	5.6323512	5.4591738	5.4962264
"ANKS3"	6.76743	6.264309	6.233064	6.470754	6.321908	6.523499	5.64491	5.570611	5.686939	5.060778	5.282325	5.477449
"ANKS4B"	3.669056	3.234509	3.469274	3.27458	3.299384	3.513931	3.38662	3.343506	3.110441	3.414479	3.426936	3.661803
"ANKS6"	4.57347175	4.53595625	4.5468235	4.77263975	4.85261875	4.84645875	4.570996	4.49008075	4.41324775	4.539391	4.811064	4.6931565
"ANKUB1"	2.47824966666667	2.68375433333333	2.83196366666667	2.87926466666667	2.76930133333333	3.01390433333333	2.71296866666667	2.62593133333333	2.64454566666667	2.67519933333333	2.67909266666667	2.63736833333333
"ANKZF1"	6.584198	6.347935	6.276653	6.690756	6.631995	6.625553	6.827117	6.921958	6.885311	6.840467	6.909248	6.907001
"ANLN"	9.911352	10.277826	10.1391575	9.157943	9.2099725	9.135819	11.16635	11.10209	11.043365	9.777504	9.712542	9.736982
"ANO1"	4.36303	4.4502145	4.272205	3.427387	3.5099265	3.49101	3.3711585	3.5396615	3.429287	3.3618915	3.4949785	3.39376
"ANO10"	6.833261	6.779346	6.746058	6.006495	6.235771	6.031563	7.429241	7.418089	7.401735	6.645259	6.625391	6.579908
"ANO2"	3.354667	3.2459035	3.357421	3.421031	3.4093905	3.439914	3.125345	3.2771695	2.887564	3.2152345	3.294166	3.2639805
"ANO3"	2.074136	2.109026	2.273824	2.287415	2.438125	2.203252	2.846984	3.046546	2.754235	4.030627	3.719618	4.111795
"ANO4"	3.945267	3.86882666666667	3.66444133333333	4.042253	3.972523	4.01555933333333	3.598621	3.58743866666667	3.29795033333333	4.454244	4.403722	4.23813033333333
"ANO5"	3.225402	3.224492	3.374598	3.118818	3.467876	3.26031	5.046466	4.692111	4.920005	8.397445	8.538665	8.410901
"ANO6"	6.68402	6.6609745	6.5551865	6.355773	6.2615305	6.475859	7.2263435	7.3510705	7.143979	6.626644	6.5668925	6.736781
"ANO7"	5.955238	5.745461	6.012388	5.816799	5.893821	5.971045	6.217724	6.1083	6.368765	5.84243	5.853732	5.983985
"ANO8"	6.662965	6.625927	6.5265	6.767916	6.60654	6.588137	6.688654	6.610533	6.515724	6.826447	6.964044	6.96961
"ANO9"	4.636779	4.471443	4.599875	4.666091	4.324341	4.494422	4.30874	4.317608	4.4729	6.633754	6.013013	6.384244
"ANP32A"	10.5542176666667	10.71274	10.6484233333333	10.9628433333333	11.0548866666667	11.02313	9.54002233333333	9.552407	9.51194066666667	10.5486166666667	10.4995796666667	10.5233433333333
"ANP32A-IT1"	2.969324	3.063087	3.02617	3.730589	3.377622	3.699655	1.976885	2.006274	1.800681	2.587371	2.677883	2.526191
"ANP32B"	11.69435	11.685	11.750635	12.01318	12.006945	11.995725	11.753915	11.856795	11.755945	12.30568	12.23625	12.274465
"ANP32C"	4.011887	3.593929	3.63345	3.591435	3.554228	3.676583	3.091282	3.168022	2.983469	3.058825	3.43533	3.224871
"ANP32D"	2.391794	2.554345	2.754265	2.416988	2.290732	2.535075	2.469821	2.540988	2.527124	2.18971	2.32714	2.266392
"ANP32E"	10.2391646666667	10.7666066666667	10.5612823333333	10.8172433333333	10.9109266666667	10.91365	9.99833266666667	9.958361	9.92683966666667	9.77710866666667	9.71186033333333	9.72699266666667
"ANPEP"	3.223229	3.39692766666667	3.47360666666667	2.97198733333333	3.172651	3.186382	4.43406366666667	4.36955966666667	4.496583	2.90034733333333	3.171634	2.90291666666667
"ANTXR1"	6.67668366666667	6.64413166666667	6.67280483333333	7.00530166666667	6.9025725	6.96435866666667	7.02846083333333	7.127314	7.11059883333333	4.8690225	4.948844	4.86588
